row_id,run_id,client_id,window_start,label,scenario,persona,detector_fired,gateway_blocked
1,part5-fresh,1ad0eceb16be4c1e63b2a6ae,2026-09-10T12:08:00+00:00,0,benign,mobile_poller,0,0
2,part5-fresh,1ad0eceb16be4c1e63b2a6ae,2026-09-10T12:11:00+00:00,0,benign,mobile_poller,0,1
3,part5-fresh,1ad0eceb16be4c1e63b2a6ae,2026-09-10T12:12:00+00:00,0,benign,mobile_poller,0,1
4,part5-fresh,1ad0eceb16be4c1e63b2a6ae,2026-09-10T12:13:00+00:00,0,benign,mobile_poller,0,1
5,part5-fresh,52772f94761cc17574fb2da5,2026-09-10T13:12:00+00:00,0,benign,browser,0,0
6,part5-fresh,f7827e09ea5b25cb154b94be,2026-09-10T13:12:00+00:00,0,benign,browser,0,0
7,part5-fresh,93e33ce1e0dccf1753b2efed,2026-09-10T13:12:00+00:00,0,benign,browser,0,0
8,part5-fresh,ef530cf26db974301e340f51,2026-09-10T13:12:00+00:00,0,benign,browser,0,0
9,part5-fresh,4a03389ab3b284f03b2045bd,2026-09-10T13:12:00+00:00,0,benign,browser,0,0
10,part5-fresh,99c8908fb6ab1ecac189ce43,2026-09-10T13:12:00+00:00,0,benign,browser,0,0
11,part5-fresh,6c9749bb31aac49d762ce078,2026-09-10T13:12:00+00:00,0,benign,browser,0,0
12,part5-fresh,71e708460d1da609689090ab,2026-09-10T13:12:00+00:00,0,benign,browser,0,0
13,part5-fresh,fc7c118f38b5b5807541bde7,2026-09-10T13:12:00+00:00,0,benign,shopper,0,0
14,part5-fresh,8df5bd541ac28b67812f2d50,2026-09-10T13:12:00+00:00,1,slow_brute_force,slow_brute_force,0,0
15,part5-fresh,58881edfdb5ee78be5be53bd,2026-09-10T13:12:00+00:00,1,low_and_slow_enumeration,low_and_slow_enumeration,1,0
16,part5-fresh,c61bb9a2b8ee0e04c398086f,2026-09-10T13:12:00+00:00,0,benign,shopper,0,0
17,part5-fresh,281504f4fc05792918189b56,2026-09-10T13:12:00+00:00,0,benign,shopper,0,0
18,part5-fresh,a0112e539ab7a6c611234b32,2026-09-10T13:12:00+00:00,1,credential_stuffing,credential_stuffing,1,0
19,part5-fresh,044ae00cfb246a3eb75eb85d,2026-09-10T13:12:00+00:00,1,api_flood,api_flood,0,0
20,part5-fresh,22184280e63d5ae6552669e1,2026-09-10T13:12:00+00:00,1,enumeration,enumeration,1,0
21,part5-fresh,9663e70026470e03ebdaa505,2026-09-10T13:12:00+00:00,1,sqli_probe,sqli_probe,1,0
22,part5-fresh,cc789cc39f13d23f17ffe8a7,2026-09-10T13:12:00+00:00,1,path_traversal,path_traversal,1,0
23,part5-fresh,f2835334f1edc3d001db3ce9,2026-09-10T13:12:00+00:00,0,benign,shopper,0,0
24,part5-fresh,0f70c62cb4613285bf7ae2a1,2026-09-10T13:12:00+00:00,0,benign,shopper,0,0
25,part5-fresh,b47310b4ba7a6c0b70565993,2026-09-10T13:12:00+00:00,0,benign,shopper,0,0
