row_id,known_status_count,login_attempts,login_attempts_known_outcome,complete_body_measurements,complete_duration_measurements,pending_at_scoring,timeouts,telemetry_dropped_in_window,interval_fully_observed,insufficient_history,telemetry_defects
1,1,0,0,1,1,0,0,0,False,True,0
2,2,0,0,2,2,0,0,0,True,False,0
3,1,0,0,1,1,0,0,0,True,True,0
4,0,0,0,0,0,0,0,0,True,True,0
5,6,0,0,6,6,0,0,0,True,False,0
6,8,0,0,8,8,0,0,0,True,False,0
7,7,0,0,7,7,0,0,0,True,False,0
8,7,0,0,7,7,0,0,0,True,False,0
9,6,0,0,6,6,0,0,0,True,False,0
10,7,0,0,7,7,0,0,0,True,False,0
11,6,0,0,6,6,0,0,0,True,False,0
12,7,0,0,7,7,0,0,0,True,False,0
13,6,0,0,6,6,0,0,0,True,False,0
14,5,4,4,5,5,0,0,0,True,False,0
15,4,0,0,4,4,0,0,0,True,False,0
16,7,0,0,7,7,0,0,0,True,False,0
17,7,0,0,7,7,0,0,0,True,False,0
18,65,64,64,65,65,0,0,0,True,False,0
19,626,0,0,626,626,0,0,0,True,False,0
20,51,0,0,51,51,0,0,0,True,False,0
21,26,0,0,26,26,0,0,0,True,False,0
22,43,0,0,43,43,0,0,0,True,False,0
23,7,0,0,7,7,0,0,0,True,False,0
24,9,0,0,9,9,0,0,0,True,False,0
25,6,0,0,6,6,0,0,0,True,False,0
26,7,0,0,7,7,0,0,0,True,False,0
27,8,0,0,8,8,0,0,0,True,False,0
28,5,4,4,5,5,0,0,0,True,False,0
29,5,3,3,5,5,0,0,0,True,False,0
30,4,3,3,4,4,0,0,0,True,False,0
31,5,4,4,5,5,0,0,0,True,False,0
32,6,3,3,6,6,0,0,0,True,False,0
33,4,3,3,4,4,0,0,0,True,False,0
34,5,4,4,5,5,0,0,0,True,False,0
35,5,3,3,5,5,0,0,0,True,False,0
36,4,0,0,4,4,0,0,0,True,False,0
37,6,0,0,6,6,0,0,0,True,False,0
38,4,0,0,4,4,0,0,0,True,False,0
39,5,0,0,5,5,0,0,0,True,False,0
40,4,0,0,4,4,0,0,0,True,False,0
41,5,0,0,5,5,0,0,0,True,False,0
42,6,0,0,6,6,0,0,0,True,False,0
43,5,0,0,5,5,0,0,0,True,False,0
44,7,0,0,7,7,0,0,0,True,False,0
45,10,0,0,10,10,0,0,0,True,False,0
46,9,0,0,9,9,0,0,0,True,False,0
47,8,0,0,8,8,0,0,0,True,False,0
48,9,0,0,9,9,0,0,0,True,False,0
49,9,0,0,9,9,0,0,0,True,False,0
50,8,0,0,8,8,0,0,0,True,False,0
51,9,0,0,9,9,0,0,0,True,False,0
52,4,0,0,4,4,0,0,0,True,False,0
53,4,0,0,4,4,0,0,0,True,False,0
54,5,0,0,5,5,0,0,0,True,False,0
55,4,0,0,4,4,0,0,0,True,False,0
56,4,0,0,4,4,0,0,0,True,False,0
57,4,0,0,4,4,0,0,0,True,False,0
58,8,0,0,8,8,0,0,0,True,False,0
59,5,0,0,5,5,0,0,0,True,False,0
60,4,0,0,4,4,0,0,0,True,False,0
61,9,0,0,9,9,0,0,0,True,False,0
62,8,0,0,8,8,0,0,0,True,False,0
63,8,0,0,8,8,0,0,0,True,False,0
64,9,0,0,9,9,0,0,0,True,False,0
65,7,0,0,7,7,0,0,0,True,False,0
66,7,0,0,7,7,0,0,0,True,False,0
67,3,0,0,3,3,0,0,0,True,False,0
68,2,0,0,2,2,0,0,0,True,True,0
69,2,0,0,2,2,0,0,0,True,True,0
70,2,0,0,2,2,0,0,0,True,True,0
71,2,0,0,2,2,0,0,0,True,True,0
72,2,0,0,2,2,0,0,0,True,True,0
73,2,0,0,2,2,0,0,0,True,True,0
74,2,0,0,2,2,0,0,0,True,True,0
75,2,0,0,2,2,0,0,0,True,True,0
76,2,0,0,2,2,0,0,0,True,True,0
77,2,0,0,2,2,0,0,0,True,True,0
78,2,0,0,2,2,0,0,0,True,True,0
79,2,0,0,2,2,0,0,0,True,True,0
80,2,0,0,2,2,0,0,0,True,True,0
81,2,0,0,2,2,0,0,0,True,True,0
82,2,0,0,2,2,0,0,0,True,True,0
83,2,0,0,2,2,0,0,0,True,True,0
84,12,0,0,12,12,0,0,0,True,False,0
85,11,0,0,11,11,0,0,0,True,False,0
86,10,0,0,10,10,0,0,0,True,False,0
87,11,0,0,11,11,0,0,0,True,False,0
88,12,0,0,12,12,0,0,0,True,False,0
89,11,0,0,11,11,0,0,0,True,False,0
90,10,0,0,10,10,0,0,0,True,False,0
91,8,0,0,8,8,0,0,0,True,False,0
92,13,0,0,13,13,0,0,0,True,False,0
93,8,8,8,8,8,0,0,0,True,False,0
94,5,0,0,5,5,0,0,0,True,False,0
95,10,0,0,10,10,0,0,0,True,False,0
96,11,0,0,11,11,0,0,0,True,False,0
97,122,122,122,122,122,0,0,0,True,False,0
98,1232,0,0,1232,1232,0,0,0,True,False,0
99,89,0,0,89,89,0,0,0,True,False,0
100,48,0,0,48,48,0,0,0,True,False,0
101,76,0,0,76,76,0,0,0,True,False,0
102,13,0,0,13,13,0,0,0,True,False,0
103,9,0,0,9,9,0,0,0,True,False,0
104,9,0,0,9,9,0,0,0,True,False,0
105,12,0,0,12,12,0,0,0,True,False,0
106,8,0,0,8,8,0,0,0,True,False,0
107,7,0,0,7,7,0,0,0,True,False,0
108,6,0,0,6,6,0,0,0,True,False,0
109,9,1,1,9,9,0,0,0,True,False,0
110,8,0,0,8,8,0,0,0,True,False,0
111,7,0,0,7,7,0,0,0,True,False,0
112,8,1,1,8,8,0,0,0,True,False,0
113,9,0,0,9,9,0,0,0,True,False,0
114,7,0,0,7,7,0,0,0,True,False,0
115,9,0,0,9,9,0,0,0,True,False,0
116,7,0,0,7,7,0,0,0,True,False,0
117,7,0,0,7,7,0,0,0,True,False,0
118,6,0,0,6,6,0,0,0,True,False,0
119,7,0,0,7,7,0,0,0,True,False,0
120,7,0,0,7,7,0,0,0,True,False,0
121,7,0,0,7,7,0,0,0,True,False,0
122,7,0,0,7,7,0,0,0,True,False,0
123,14,0,0,14,14,0,0,0,True,False,0
124,12,0,0,12,12,0,0,0,True,False,0
125,15,0,0,15,15,0,0,0,True,False,0
126,14,0,0,14,14,0,0,0,True,False,0
127,13,0,0,13,13,0,0,0,True,False,0
128,12,0,0,12,12,0,0,0,True,False,0
129,14,0,0,14,14,0,0,0,True,False,0
130,12,0,0,12,12,0,0,0,True,False,0
131,4,0,0,4,4,0,0,0,True,False,0
132,4,0,0,4,4,0,0,0,True,False,0
133,6,0,0,6,6,0,0,0,True,False,0
134,4,0,0,4,4,0,0,0,True,False,0
135,4,0,0,4,4,0,0,0,True,False,0
136,4,0,0,4,4,0,0,0,True,False,0
137,12,0,0,12,12,0,0,0,True,False,0
138,6,0,0,6,6,0,0,0,True,False,0
139,6,0,0,6,6,0,0,0,True,False,0
140,4,0,0,4,4,0,0,0,True,False,0
141,9,0,0,9,9,0,0,0,True,False,0
142,10,0,0,10,10,0,0,0,True,False,0
143,11,0,0,11,11,0,0,0,True,False,0
144,16,0,0,16,16,0,0,0,True,False,0
145,6,0,0,6,6,0,0,0,True,False,0
146,10,0,0,10,10,0,0,0,True,False,0
147,10,0,0,10,10,0,0,0,True,False,0
148,12,0,0,12,12,0,0,0,True,False,0
149,11,0,0,11,11,0,0,0,True,False,0
150,12,0,0,12,12,0,0,0,True,False,0
151,11,0,0,11,11,0,0,0,True,False,0
152,10,0,0,10,10,0,0,0,True,False,0
153,11,0,0,11,11,0,0,0,True,False,0
154,12,0,0,12,12,0,0,0,True,False,0
155,9,0,0,9,9,0,0,0,True,False,0
156,7,7,7,7,7,0,0,0,True,False,0
157,5,0,0,5,5,0,0,0,True,False,0
158,12,0,0,12,12,0,0,0,True,False,0
159,9,0,0,9,9,0,0,0,True,False,0
160,115,115,115,115,115,0,0,0,True,False,0
161,1188,0,0,1188,1188,1,0,0,True,False,0
162,96,0,0,96,96,0,0,0,True,False,0
163,51,0,0,51,51,0,0,0,True,False,0
164,79,0,0,79,79,0,0,0,True,False,0
165,13,0,0,13,13,0,0,0,True,False,0
166,12,0,0,12,12,0,0,0,True,False,0
167,11,0,0,11,11,0,0,0,True,False,0
