row_id,known_status_count,login_attempts,login_attempts_known_outcome,complete_body_measurements,complete_duration_measurements,pending_at_scoring,timeouts,telemetry_dropped_in_window,interval_fully_observed,insufficient_history,telemetry_defects
1,1,0,0,1,1,0,0,0,False,True,0
2,9,0,0,9,9,0,0,0,True,False,0
3,13,0,0,13,13,0,0,0,True,False,0
4,11,0,0,11,11,0,0,0,True,False,0
5,12,0,0,12,12,0,0,0,True,False,0
6,7,4,4,7,7,0,0,0,True,False,0
7,9,4,4,9,9,0,0,0,True,False,0
8,6,0,0,6,6,0,0,0,True,False,0
9,7,0,0,7,7,0,0,0,True,False,0
10,13,0,0,13,13,0,0,0,True,False,0
11,8,7,7,8,8,0,0,0,True,False,0
12,6,0,0,6,6,0,0,0,True,False,0
13,14,0,0,14,14,0,0,0,True,False,0
14,7,0,0,7,7,0,0,0,True,False,0
15,11,113,10,11,11,0,0,0,True,False,0
16,200,0,0,200,200,0,0,0,True,False,0
17,24,0,0,24,24,0,0,0,True,False,0
18,14,0,0,14,14,0,0,0,True,False,0
19,17,0,0,17,17,0,0,0,True,False,0
20,7,0,0,7,7,0,0,0,True,False,0
21,5,0,0,5,5,0,0,0,True,False,0
22,13,0,0,13,13,0,0,0,True,False,0
23,2,0,0,2,2,0,0,0,True,True,0
24,2,0,0,2,2,0,0,0,True,True,0
25,2,0,0,2,2,0,0,0,True,True,0
26,2,0,0,2,2,0,0,0,True,True,0
27,8,0,0,8,8,0,0,0,True,False,0
28,13,0,0,13,13,0,0,0,True,False,0
29,8,1,1,8,8,0,0,0,True,False,0
30,11,1,1,11,11,0,0,0,True,False,0
31,7,0,0,7,7,0,0,0,True,False,0
32,8,0,0,8,8,0,0,0,True,False,0
33,6,0,0,6,6,0,0,0,True,False,0
34,8,0,0,8,8,0,0,0,True,False,0
35,12,0,0,12,12,0,0,0,True,False,0
36,5,8,5,5,5,0,0,0,True,False,0
37,0,0,0,0,0,0,0,0,True,False,0
38,13,0,0,13,13,0,0,0,True,False,0
39,6,0,0,6,6,0,0,0,True,False,0
40,0,119,0,0,0,0,0,0,True,False,0
41,0,0,0,0,0,0,0,0,True,False,0
42,0,0,0,0,0,0,0,0,True,False,0
43,0,0,0,0,0,0,0,0,True,False,0
44,0,0,0,0,0,0,0,0,True,False,0
45,6,0,0,6,6,0,0,0,True,False,0
46,12,0,0,12,12,0,0,0,True,False,0
47,6,0,0,6,6,0,0,0,True,False,0
48,12,0,0,12,12,0,0,0,True,False,0
49,11,0,0,11,11,0,0,0,True,False,0
50,8,0,0,8,8,0,0,0,True,False,0
51,7,0,0,7,7,0,0,0,True,False,0
52,7,0,0,7,7,0,0,0,True,False,0
53,8,0,0,8,8,0,0,0,True,False,0
54,9,0,0,9,9,0,0,0,True,False,0
55,6,0,0,6,6,0,0,0,True,False,0
56,16,0,0,16,16,0,0,0,True,False,0
57,0,7,0,0,0,0,0,0,True,False,0
58,0,0,0,0,0,0,0,0,True,False,0
59,11,0,0,11,11,0,0,0,True,False,0
60,6,0,0,6,6,0,0,0,True,False,0
61,0,120,0,0,0,0,0,0,True,False,0
62,0,0,0,0,0,0,0,0,True,False,0
63,0,0,0,0,0,0,0,0,True,False,0
64,0,0,0,0,0,0,0,0,True,False,0
65,0,0,0,0,0,0,0,0,True,False,0
66,6,0,0,6,6,0,0,0,True,False,0
67,5,0,0,5,5,0,0,0,True,False,0
68,9,0,0,9,9,0,0,0,True,False,0
69,1,0,0,1,1,0,0,0,True,True,0
70,1,0,0,1,1,0,0,0,True,True,0
71,1,0,0,1,1,0,0,0,True,True,0
72,1,0,0,1,1,0,0,0,True,True,0
73,1,0,0,1,1,0,0,0,True,True,0
74,1,0,0,1,1,0,0,0,True,True,0
75,1,0,0,1,1,0,0,0,True,True,0
76,1,0,0,1,1,0,0,0,True,True,0
77,1,0,0,1,1,0,0,0,True,True,0
78,0,1,0,0,0,0,0,0,True,True,0
79,1,0,0,1,1,0,0,0,True,True,0
80,0,11,0,0,0,0,0,0,True,False,0
81,0,0,0,0,0,0,0,0,True,False,0
82,0,0,0,0,0,0,0,0,True,False,0
83,0,0,0,0,0,0,0,0,True,False,0
84,0,0,0,0,0,0,0,0,True,False,0
85,2,0,0,2,2,0,0,0,True,True,0
