row_id,split,group_key
1,test,run1|142.251.222.177
2,test,run1|203.0.113.10
3,train,run1|203.0.113.11
4,val,run1|203.0.113.12
5,val,run1|203.0.113.13
6,train,run1|203.0.113.14
7,train,run1|203.0.113.15
8,test,run1|203.0.113.16
9,test,run1|203.0.113.17
10,train,run1|203.0.113.18
11,test,run1|203.0.113.180
12,test,run1|203.0.113.181
13,train,run1|203.0.113.19
14,test,run1|203.0.113.20
15,test,run1|203.0.113.200
16,val,run1|203.0.113.201
17,test,run1|203.0.113.202
18,test,run1|203.0.113.203
19,test,run1|203.0.113.204
20,train,run1|203.0.113.21
21,train,run1|203.0.113.22
22,test,run1|203.0.113.23
23,test,run1|203.0.113.24
24,val,run1|203.0.113.25
25,val,run1|203.0.113.26
26,test,run1|203.0.113.27
27,test,run1|203.0.113.10
28,train,run1|203.0.113.11
29,val,run1|203.0.113.12
30,val,run1|203.0.113.13
31,train,run1|203.0.113.14
32,train,run1|203.0.113.15
33,test,run1|203.0.113.16
34,test,run1|203.0.113.17
35,train,run1|203.0.113.18
36,test,run1|203.0.113.180
37,test,run1|203.0.113.181
38,train,run1|203.0.113.19
39,test,run1|203.0.113.20
40,test,run1|203.0.113.200
41,val,run1|203.0.113.201
42,test,run1|203.0.113.202
43,test,run1|203.0.113.203
44,test,run1|203.0.113.204
45,train,run1|203.0.113.21
46,train,run1|203.0.113.22
47,test,run1|203.0.113.23
48,test,run1|203.0.113.10
49,train,run1|203.0.113.11
50,val,run1|203.0.113.12
51,val,run1|203.0.113.13
52,train,run1|203.0.113.14
53,train,run1|203.0.113.15
54,test,run1|203.0.113.16
55,test,run1|203.0.113.17
56,train,run1|203.0.113.18
57,test,run1|203.0.113.180
58,test,run1|203.0.113.181
59,train,run1|203.0.113.19
60,test,run1|203.0.113.20
61,test,run1|203.0.113.200
62,val,run1|203.0.113.201
63,test,run1|203.0.113.202
64,test,run1|203.0.113.203
65,test,run1|203.0.113.204
66,train,run1|203.0.113.21
67,train,run1|203.0.113.22
68,test,run1|203.0.113.23
69,val,run1|203.0.113.26
70,test,run1|203.0.113.27
71,test,run1|203.0.113.10
72,train,run1|203.0.113.11
73,val,run1|203.0.113.12
74,val,run1|203.0.113.13
75,train,run1|203.0.113.14
76,test,run1|203.0.113.17
77,train,run1|203.0.113.18
78,test,run1|203.0.113.180
79,train,run1|203.0.113.19
80,test,run1|203.0.113.200
81,val,run1|203.0.113.201
82,test,run1|203.0.113.202
83,test,run1|203.0.113.203
84,test,run1|203.0.113.204
85,train,run1|192.168.65.1
