row_id,run_id,ip,window_start,label,scenario,persona
1,run1,203.0.113.10,2026-09-08T12:43:00+00:00,0,benign,browser
2,run1,203.0.113.11,2026-09-08T12:43:00+00:00,0,benign,browser
3,run1,203.0.113.12,2026-09-08T12:43:00+00:00,0,benign,browser
4,run1,203.0.113.13,2026-09-08T12:43:00+00:00,0,benign,browser
5,run1,203.0.113.14,2026-09-08T12:43:00+00:00,0,benign,browser
6,run1,203.0.113.15,2026-09-08T12:43:00+00:00,0,benign,browser
7,run1,203.0.113.16,2026-09-08T12:43:00+00:00,0,benign,browser
8,run1,203.0.113.17,2026-09-08T12:43:00+00:00,0,benign,browser
9,run1,203.0.113.18,2026-09-08T12:43:00+00:00,0,benign,shopper
10,run1,203.0.113.180,2026-09-08T12:43:00+00:00,1,slow_brute_force,slow_brute_force
11,run1,203.0.113.181,2026-09-08T12:43:00+00:00,1,low_and_slow_enumeration,low_and_slow_enumeration
12,run1,203.0.113.19,2026-09-08T12:43:00+00:00,0,benign,shopper
13,run1,203.0.113.20,2026-09-08T12:43:00+00:00,0,benign,shopper
14,run1,203.0.113.200,2026-09-08T12:43:00+00:00,1,credential_stuffing,credential_stuffing
15,run1,203.0.113.201,2026-09-08T12:43:00+00:00,1,api_flood,api_flood
16,run1,203.0.113.202,2026-09-08T12:43:00+00:00,1,enumeration,enumeration
17,run1,203.0.113.203,2026-09-08T12:43:00+00:00,1,sqli_probe,sqli_probe
18,run1,203.0.113.204,2026-09-08T12:43:00+00:00,1,path_traversal,path_traversal
19,run1,203.0.113.21,2026-09-08T12:43:00+00:00,0,benign,shopper
20,run1,203.0.113.22,2026-09-08T12:43:00+00:00,0,benign,shopper
21,run1,203.0.113.23,2026-09-08T12:43:00+00:00,0,benign,shopper
22,run1,203.0.113.24,2026-09-08T12:43:00+00:00,0,benign,shopper
23,run1,203.0.113.25,2026-09-08T12:43:00+00:00,0,benign,shopper
24,run1,203.0.113.26,2026-09-08T12:43:00+00:00,0,benign,forgetful_user
25,run1,203.0.113.27,2026-09-08T12:43:00+00:00,0,benign,forgetful_user
26,run1,203.0.113.28,2026-09-08T12:43:00+00:00,0,benign,forgetful_user
27,run1,203.0.113.29,2026-09-08T12:43:00+00:00,0,benign,forgetful_user
28,run1,203.0.113.30,2026-09-08T12:43:00+00:00,0,benign,forgetful_user
29,run1,203.0.113.31,2026-09-08T12:43:00+00:00,0,benign,forgetful_user
30,run1,203.0.113.32,2026-09-08T12:43:00+00:00,0,benign,forgetful_user
31,run1,203.0.113.33,2026-09-08T12:43:00+00:00,0,benign,forgetful_user
32,run1,203.0.113.34,2026-09-08T12:43:00+00:00,0,benign,dead_link_visitor
33,run1,203.0.113.35,2026-09-08T12:43:00+00:00,0,benign,dead_link_visitor
34,run1,203.0.113.36,2026-09-08T12:43:00+00:00,0,benign,dead_link_visitor
35,run1,203.0.113.37,2026-09-08T12:43:00+00:00,0,benign,dead_link_visitor
36,run1,203.0.113.38,2026-09-08T12:43:00+00:00,0,benign,dead_link_visitor
37,run1,203.0.113.39,2026-09-08T12:43:00+00:00,0,benign,dead_link_visitor
38,run1,203.0.113.40,2026-09-08T12:43:00+00:00,0,benign,dead_link_visitor
39,run1,203.0.113.41,2026-09-08T12:43:00+00:00,0,benign,dead_link_visitor
40,run1,203.0.113.42,2026-09-08T12:43:00+00:00,0,benign,search_heavy
41,run1,203.0.113.43,2026-09-08T12:43:00+00:00,0,benign,search_heavy
42,run1,203.0.113.44,2026-09-08T12:43:00+00:00,0,benign,search_heavy
43,run1,203.0.113.45,2026-09-08T12:43:00+00:00,0,benign,search_heavy
44,run1,203.0.113.46,2026-09-08T12:43:00+00:00,0,benign,search_heavy
45,run1,203.0.113.47,2026-09-08T12:43:00+00:00,0,benign,search_heavy
46,run1,203.0.113.48,2026-09-08T12:43:00+00:00,0,benign,search_heavy
47,run1,203.0.113.49,2026-09-08T12:43:00+00:00,0,benign,search_heavy
48,run1,203.0.113.50,2026-09-08T12:43:00+00:00,0,benign,mobile_poller
49,run1,203.0.113.51,2026-09-08T12:43:00+00:00,0,benign,mobile_poller
50,run1,203.0.113.52,2026-09-08T12:43:00+00:00,0,benign,mobile_poller
51,run1,203.0.113.53,2026-09-08T12:43:00+00:00,0,benign,mobile_poller
52,run1,203.0.113.54,2026-09-08T12:43:00+00:00,0,benign,mobile_poller
53,run1,203.0.113.55,2026-09-08T12:43:00+00:00,0,benign,mobile_poller
