row_id,request_count,peak_1s_requests,interarrival_cv,unique_path_ratio,dominant_route_ratio,unmatched_route_ratio,post_ratio,login_ratio,login_failure_ratio,backend_404_ratio,backend_5xx_ratio,mean_request_body_bytes,p95_upstream_duration_ms,endpoint_method_deviation
1,5.0,2.0,0.6673711852362495,0.8,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,5.0,0.0
2,6.0,2.0,0.5854425739224554,0.8333333333333334,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,5.0,0.0
3,6.0,2.0,0.7356249104130148,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.5,0.0,0.0,7.0,0.0
4,7.0,2.0,0.8481398728949929,0.7142857142857143,0.42857142857142855,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,9.0,0.0
5,5.0,2.0,0.7356871958708329,1.0,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,9.0,0.0
6,7.0,2.0,0.5402311526408266,0.8571428571428571,0.5714285714285714,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,7.0,0.0
7,4.0,2.0,0.7357855516026222,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
8,5.0,2.0,0.6227475860295149,1.0,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,8.0,0.0
9,6.0,2.0,0.6665189508624765,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.5,0.0,0.0,7.0,0.0
10,5.0,2.0,0.5756373759224159,0.4,0.8,0.0,0.8,0.8,1.0,0.0,0.0,43.4,1.0,0.0
11,4.0,2.0,0.7049189015842925,0.75,0.75,0.75,0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0
12,5.0,2.0,0.6157439665482477,1.0,0.8,0.0,0.0,0.0,0.0,0.4,0.0,0.0,7.0,0.0
13,9.0,2.0,0.47162378568089575,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,4.0,0.0
14,62.0,3.0,0.4042076351319778,0.03225806451612903,0.9838709677419355,0.0,0.9838709677419355,0.9838709677419355,1.0,0.0,0.0,48.81818181818182,2.0,0.0
15,562.0,24.0,0.37406522291037964,0.0035587188612099642,0.998220640569395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
16,43.0,3.0,0.34642415289309103,0.23255813953488372,0.4186046511627907,0.4186046511627907,0.0,0.0,0.0,0.4186046511627907,0.0,0.0,2.0,0.0
17,23.0,2.0,0.4093343355577461,0.08695652173913043,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,0.30434782608695654,0.0,2.0,0.0
18,36.0,2.0,0.33135513621493873,0.4166666666666667,0.9722222222222222,0.9722222222222222,0.0,0.0,0.0,0.9722222222222222,0.0,0.0,1.0,0.0
19,5.0,2.0,0.601083548658556,1.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,4.0,0.0
20,6.0,2.0,0.5810421463736891,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,3.0,0.0
21,6.0,2.0,0.625017301983798,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,4.0,0.0
22,6.0,2.0,0.6788471785466931,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.5,0.0,0.0,5.0,0.0
23,8.0,2.0,0.5611902986362275,1.0,0.875,0.0,0.0,0.0,0.0,0.625,0.0,0.0,4.0,0.0
