row_id,split,group_key
1,train,run2|da0ac19aeb4dd17af13223b6
2,train,run2|7a134559991d1890694ec88a
3,train,run2|3546626ec7ea7ebe12514293
4,train,run2|d922e6c1f87c8503eae6dcf1
5,train,run2|2e1ca746bb8a88ea44f76598
6,test,run2|e3e6cd89a6d9b64a76362910
7,test,run2|afb34b99f11cf73707b37f91
8,train,run2|714926a2f66fde5eb0141b77
9,train,run2|a8378c00369355b71ca4a740
10,test,run2|5d2fecfb00efa3dbb74eb6bd
11,test,run2|6735b6efc11ce6c55023b666
12,val,run2|738a3a2c4de9dd56c42e04b2
13,train,run2|9dac0483a8616d9acd146041
14,test,run2|cc7a2a76ab9775380ffbfa6d
15,test,run2|d983b2a03d6bc18a4ce22475
16,test,run2|9add6371ed177ad513889c9c
17,test,run2|54ef328eac6ea5fbc7efcac0
18,test,run2|9826f71b07ffc0aa4151771c
19,val,run2|dc004f92b5c572f08812d87a
20,test,run2|aadc20f2c3de5ffb28418fde
21,train,run2|f49e0e02c940d43c9a030d7b
22,train,run2|62797f01198f3d2f440d74a8
23,test,run2|9485cfd43904e9fec1965606
24,val,run2|a38af1ae2f5d20ca4ada064f
25,train,run2|8a749b48b1aad565b9351404
26,test,run2|c9d17513446fff7f1fbc56fa
27,val,run2|ae48001b3a51c13d9fe39311
28,train,run2|70096e767796b2db773d203b
29,test,run2|3d08fee436f32cb3180f97f6
30,train,run2|1e9a2ca1194707a30b862421
31,test,run2|662ec13447fc2ba10d072491
32,train,run2|705439a19fad4165b6bfaa2f
33,train,run2|1473e53d878180eb984abd32
34,train,run2|7af8fa411068f990af7c30e7
35,train,run2|ccda4cae70561694cba91108
36,train,run2|3c967699869c1e88faad5b7c
37,train,run2|d5edde036040cb01fa5fd175
38,train,run2|b562074b475c7201ec8c6933
39,train,run2|487032b6828699f8248ded0f
40,train,run2|87c4bb0723674e06dd47ba8f
41,train,run2|dcfdb2e0148a0dd535a11c8e
42,val,run2|0b1978fe215a9f4c97dc7d54
43,val,run2|9771688d0910acf6d0db762e
44,train,run2|0fcead7e13f10181bf085a70
45,train,run2|4cfbdbb4923d37ccf8bee8ea
46,train,run2|07c37b1affe43b6979c68069
47,test,run2|180e9ec18c5662a0159516bc
48,train,run2|2151b12f0ee415b2279b5cf3
49,train,run2|e49fb0d290383bcafb0b1e48
50,train,run2|d5723c4b1f5ed907a1f54bbf
51,val,run2|be2f7d8777a2b2dbb25b3abd
52,train,run2|eb9f09185a552e089ec78d00
53,test,run2|de698aa0507bc018b80af29b
54,train,run2|72e1f4e211cbedbf81e51bac
55,val,run2|f71aea0367ea089356affc14
56,test,run2|75a93e2d4350e5071d16c6f2
57,train,run2|7ff991bac17595baa2649382
58,train,run2|4a7f89273eb45ab48fe41933
59,val,run2|bf45656fcfb426b8c7792777
60,train,run2|0c3e42105cd076b5f8458cf0
61,test,run2|1b1ab853c13daeff4b9498b5
62,train,run2|096397c023d6fac465c5b340
63,train,run2|df5440dc4a3465e0bf50d6bc
64,train,run2|4c22fc835cecf9ca884d135b
65,val,run2|4c2abbf069ecd9056089ccbe
66,test,run2|7f48d3f36fdd6eeef4d9148b
67,train,run2|cdd836619f8d4dac3004ab95
68,train,run2|b8e25b4895f5fc99a3425b95
69,test,run2|4aff7d8026ff35ef4e4eedc4
70,test,run2|c9702dc939f1e3510cbb488a
71,val,run2|fd2103433d26ed4a039eb75f
72,train,run2|2870c394ad478441611dea23
73,test,run2|b16307c4094bbd080b6fe9a7
74,train,run2|03364c1282fb536273dc133f
75,train,run2|cd2b34be885e20c5eaecbc39
76,val,run2|78afab31de5303fd8c1ebac9
77,train,run2|8a39ab8cbb7d0519ce69ebcb
78,train,run2|333afbc8eaf83d126fdb40fb
79,train,run2|fc71206d26f62ecf4c9b80b9
80,train,run2|da0ac19aeb4dd17af13223b6
81,train,run2|7a134559991d1890694ec88a
82,train,run2|3546626ec7ea7ebe12514293
83,train,run2|d922e6c1f87c8503eae6dcf1
84,train,run2|2e1ca746bb8a88ea44f76598
85,test,run2|e3e6cd89a6d9b64a76362910
86,test,run2|afb34b99f11cf73707b37f91
87,train,run2|714926a2f66fde5eb0141b77
88,train,run2|a8378c00369355b71ca4a740
89,test,run2|5d2fecfb00efa3dbb74eb6bd
90,test,run2|6735b6efc11ce6c55023b666
91,val,run2|738a3a2c4de9dd56c42e04b2
92,train,run2|9dac0483a8616d9acd146041
93,test,run2|cc7a2a76ab9775380ffbfa6d
94,test,run2|d983b2a03d6bc18a4ce22475
95,test,run2|9add6371ed177ad513889c9c
96,test,run2|54ef328eac6ea5fbc7efcac0
97,test,run2|9826f71b07ffc0aa4151771c
98,val,run2|dc004f92b5c572f08812d87a
99,test,run2|aadc20f2c3de5ffb28418fde
100,train,run2|f49e0e02c940d43c9a030d7b
101,train,run2|62797f01198f3d2f440d74a8
102,test,run2|9485cfd43904e9fec1965606
103,val,run2|a38af1ae2f5d20ca4ada064f
104,train,run2|8a749b48b1aad565b9351404
105,test,run2|c9d17513446fff7f1fbc56fa
106,val,run2|ae48001b3a51c13d9fe39311
107,train,run2|70096e767796b2db773d203b
108,test,run2|3d08fee436f32cb3180f97f6
109,train,run2|1e9a2ca1194707a30b862421
